HCR#,,As Of Date,Contract Origin (and Admin Official),,,Contract Destination,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.25?,?,?,0.75,,,,,
320,1,30,MANCHESTER,15:06:00 ET,15 min,15:21:00 ET,53FT,K167,205,12/06/2024 06/30/2026,
320,2,030PM,NASHUA,16:05:00 ET,15 min,16:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.23?,?,?,0.73,,,,,
321,1,030PM,NASHUA,14:30:00 ET,15 min,14:45:00 ET,53FT,K17,257,12/06/2024 06/30/2026,
321,2,30,MANCHESTER,15:45:00 ET,15 min,16:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
322,1,30,MANCHESTER,16:00:00 ET,15 min,16:15:00 ET,53FT,K17,257,12/06/2024 06/30/2026,
322,2,030PM,NASHUA,17:15:00 ET,15 min,17:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
323,1,030PM,NASHUA,16:05:00 ET,15 min,16:20:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
323,2,30,MANCHESTER,17:20:00 ET,15 min,17:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
324,1,30,MANCHESTER,17:35:00 ET,15 min,17:50:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
324,2,030PM,NASHUA,18:50:00 ET,15 min,19:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
325,1,030PM,NASHUA,16:35:00 ET,15 min,16:50:00 ET,53FT,K67,251,12/06/2024 06/30/2026,
325,2,30,MANCHESTER,17:50:00 ET,15 min,18:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
326,1,30,MANCHESTER,18:05:00 ET,15 min,18:20:00 ET,53FT,K67,251,12/06/2024 06/30/2026,
326,2,030PM,NASHUA,19:20:00 ET,15 min,19:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
327,1,030PM,NASHUA,17:05:00 ET,15 min,17:20:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
327,2,30,MANCHESTER,18:20:00 ET,15 min,18:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
328,1,30,MANCHESTER,18:35:00 ET,15 min,18:50:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
328,2,030PM,NASHUA,19:50:00 ET,15 min,20:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
329,1,030PM,NASHUA,17:30:00 ET,15 min,17:45:00 ET,53FT,K67,251,12/06/2024 06/30/2026,
329,2,30,MANCHESTER,18:45:00 ET,15 min,19:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
330,1,30,MANCHESTER,19:00:00 ET,15 min,19:15:00 ET,53FT,K67,251,12/06/2024 06/30/2026,
330,2,030PM,NASHUA,20:15:00 ET,15 min,20:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
331,1,030PM,NASHUA,17:40:00 ET,15 min,17:55:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
331,2,30,MANCHESTER,18:55:00 ET,15 min,19:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
332,1,30,MANCHESTER,19:10:00 ET,15 min,19:25:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
332,2,030PM,NASHUA,20:25:00 ET,15 min,20:40:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
333,1,030PM,NASHUA,17:45:00 ET,15 min,18:00:00 ET,53FT,K67,251,12/06/2024 06/30/2026,
333,2,30,MANCHESTER,19:00:00 ET,15 min,19:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
334,1,30,MANCHESTER,19:15:00 ET,15 min,19:30:00 ET,53FT,K67,251,12/06/2024 06/30/2026,
334,2,030PM,NASHUA,20:30:00 ET,15 min,20:45:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
335,1,030PM,NASHUA,18:00:00 ET,15 min,18:15:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
335,2,30,MANCHESTER,19:15:00 ET,15 min,19:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
336,1,30,MANCHESTER,19:30:00 ET,15 min,19:45:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
336,2,030PM,NASHUA,20:45:00 ET,15 min,21:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
337,1,030PM,NASHUA,18:45:00 ET,15 min,19:00:00 ET,53FT,1X,46,12/06/2024 06/30/2026,
337,2,30,MANCHESTER,20:00:00 ET,15 min,20:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
338,1,30,MANCHESTER,20:15:00 ET,15 min,20:30:00 ET,53FT,1X,46,12/06/2024 06/30/2026,
338,2,030PM,NASHUA,21:30:00 ET,15 min,21:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
339,1,030PM,NASHUA,19:00:00 ET,15 min,19:15:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
339,2,30,MANCHESTER,20:15:00 ET,15 min,20:30:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
340,1,30,MANCHESTER,20:30:00 ET,15 min,20:45:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
340,2,030PM,NASHUA,21:45:00 ET,15 min,22:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
341,1,030PM,NASHUA,19:15:00 ET,15 min,19:30:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
341,2,30,MANCHESTER,20:30:00 ET,15 min,20:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
342,1,30,MANCHESTER,20:45:00 ET,15 min,21:00:00 ET,53FT,DAIL,365,12/06/2024 06/30/2026,
342,2,030PM,NASHUA,22:00:00 ET,15 min,22:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
343,1,030PM,NASHUA,19:45:00 ET,15 min,20:00:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
343,2,30,MANCHESTER,21:00:00 ET,15 min,21:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.50?,?,?,1,,,,,
344,1,30,MANCHESTER,21:15:00 ET,15 min,21:30:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
344,2,030PM,NASHUA,22:30:00 ET,15 min,22:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.50?,?,?,1,,,,,
345,1,030PM,NASHUA,20:25:00 ET,15 min,20:40:00 ET,53FT,QQ6,311,12/06/2024 06/30/2026,
345,2,30,MANCHESTER,21:30:00 ET,15 min,21:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.33?,?,?,0.83,,,,,
346,1,30,MANCHESTER,21:45:00 ET,15 min,22:00:00 ET,53FT,QQ6,311,12/06/2024 06/30/2026,
346,2,030PM,NASHUA,22:40:00 ET,15 min,22:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.17?,?,?,0.67,,,,,
347,1,030PM,NASHUA,21:15:00 ET,15 min,21:30:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
347,2,30,MANCHESTER,22:10:00 ET,15 min,22:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.17?,?,?,0.67,,,,,
348,1,30,MANCHESTER,22:25:00 ET,15 min,22:40:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
348,2,030PM,NASHUA,23:20:00 ET,15 min,23:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.17?,?,?,0.67,,,,,
349,1,030PM,NASHUA,22:15:00 ET,15 min,22:30:00 ET,53FT,K7,303,07/01/2024 06/30/2026,
349,2,30,MANCHESTER,23:10:00 ET,15 min,23:25:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.17?,?,?,0.67,,,,,
350,1,30,MANCHESTER,23:25:00 ET,15 min,23:40:00 ET,53FT,K7,303,12/06/2024 06/30/2026,
350,2,030PM,NASHUA,00:20:00 ET,15 min,00:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.17?,?,?,0.67,,,,,
351,1,030PM,NASHUA,23:45:00 ET,15 min,00:00:00 ET,53FT,L127,198,12/06/2024 06/30/2026,
351,2,30,MANCHESTER,00:40:00 ET,15 min,00:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.6,1.17?,?,?,0.67,,,,,
352,1,30,MANCHESTER,00:55:00 ET,15 min,01:10:00 ET,53FT,L127,198,12/06/2024 06/30/2026,
352,2,030PM,NASHUA,01:50:00 ET,15 min,02:05:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.2,1.17?,?,?,0.67,,,,,
353,1,030PM,NASHUA,02:45:00 ET,15 min,03:00:00 ET,53FT,L1,303,01/24/2025 06/30/2026,
353,2,30,MANCHESTER,03:40:00 ET,15 min,03:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,15.8,1.17?,?,?,0.67,,,,,
354,1,30,MANCHESTER,04:10:00 ET,15 min,04:25:00 ET,53FT,L1,303,01/24/2025 06/30/2026,
354,2,030PM,NASHUA,05:05:00 ET,15 min,05:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,18.4,1.17?,?,?,0.67,,,,,
401,1,30,MANCHESTER,02:45:00 ET,15 min,03:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
401,2,3229,CONTOOCOOK,03:55:00 ET,15 min,04:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,30.9,1.42?,?,?,0.92,,,,,
402,1,3229,CONTOOCOOK,04:11:00 ET,15 min,04:26:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
402,2,30,MANCHESTER,05:25:00 ET,15 min,05:40:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,30.6,1.48?,?,?,0.98,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
403,1,30,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,24VN,QQ,363,12/06/2024 06/30/2026,
403,2,3229,CONTOOCOOK,06:15:00 ET,15 min,06:30:00 ET,,,,,
403,3,3257,NEW LONDON,07:05:00 ET,6 min,07:11:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56,1.93?,?,?,1.33,,,,,
404,1,3257,NEW LONDON,07:12:00 ET,6 min,07:18:00 ET,24VN,QQ,363,12/06/2024 06/30/2026,
404,2,30,MANCHESTER,08:20:00 ET,15 min,08:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,55.2,1.38?,?,?,1.03,,,,,
405,1,30,MANCHESTER,11:15:00 ET,15 min,11:30:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
405,2,3229,CONTOOCOOK,12:10:00 ET,9 min,12:19:00 ET,,,,,
405,3,3257,NEW LONDON,12:50:00 ET,9 min,12:59:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56,1.73?,?,?,1.18,,,,,
406,1,3257,NEW LONDON,12:59:00 ET,6 min,13:05:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
406,2,30,MANCHESTER,14:05:00 ET,15 min,14:20:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,55.2,1.35?,?,?,1,,,,,
407,1,30,MANCHESTER,15:20:00 ET,15 min,15:35:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
407,2,3257,NEW LONDON,16:54:00 ET,6 min,17:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,55.4,1.67?,?,?,1.32,,,,,
408,1,3257,NEW LONDON,17:01:00 ET,15 min,17:16:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
408,2,3229,CONTOOCOOK,17:50:00 ET,15 min,18:05:00 ET,,,,,
408,3,30,MANCHESTER,19:00:00 ET,15 min,19:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,56,2.23?,?,?,1.48,,,,,
411,1,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
411,2,3234,EPSOM,06:30:00 ET,9 min,06:39:00 ET,,,,,
411,3,3263,PITTSFIELD,06:55:00 ET,9 min,07:04:00 ET,,,,,
411,4,3225,CENTER BARNSTEAD,07:20:00 ET,9 min,07:29:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,35.1,1.98?,?,?,1.28,,,,,
412,1,3225,CENTER BARNSTEAD,07:30:00 ET,9 min,07:39:00 ET,26LG,K7,303,12/06/2024 06/30/2026,
412,2,30,MANCHESTER,08:45:00 ET,15 min,09:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,35.2,1.50?,?,?,1.1,,,,,
413,1,30,MANCHESTER,11:15:00 ET,15 min,11:30:00 ET,24LG,6X,51,12/06/2024 06/30/2026,
413,2,3263,PITTSFIELD,12:30:00 ET,9 min,12:39:00 ET,,,,,
413,3,3225,CENTER BARNSTEAD,12:49:00 ET,6 min,12:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,35.1,1.67?,?,?,1.17,,,,,
414,1,3225,CENTER BARNSTEAD,12:56:00 ET,6 min,13:02:00 ET,24LG,6X,51,12/06/2024 06/30/2026,
414,2,3218,BARNSTEAD,13:06:00 ET,9 min,13:15:00 ET,,,,,
414,3,3263,PITTSFIELD,13:26:00 ET,9 min,13:35:00 ET,,,,,
414,4,3234,EPSOM,13:46:00 ET,9 min,13:55:00 ET,,,,,
414,5,30,MANCHESTER,15:00:00 ET,15 min,15:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,36.5,2.32?,?,?,1.52,,,,,
415,1,30,MANCHESTER,12:00:00 ET,15 min,12:15:00 ET,26LG,K67,251,12/06/2024 06/30/2026,
415,2,3234,EPSOM,13:01:00 ET,9 min,13:10:00 ET,,,,,
415,3,3263,PITTSFIELD,13:26:00 ET,9 min,13:35:00 ET,,,,,
415,4,3218,BARNSTEAD,13:44:00 ET,6 min,13:50:00 ET,,,,,
415,5,3225,CENTER BARNSTEAD,13:54:00 ET,6 min,14:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,35.3,2.00?,?,?,1.25,,,,,
416,1,3225,CENTER BARNSTEAD,14:01:00 ET,6 min,14:07:00 ET,26LG,K67,251,02/07/2025 06/30/2026,
416,2,30,MANCHESTER,15:07:00 ET,9 min,15:16:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,35.4,1.25?,?,?,1,,,,,
417,1,30,MANCHESTER,16:00:00 ET,10 min,16:10:00 ET,26LG,K7,303,03/15/2025 06/30/2026,
417,2,3225,CENTER BARNSTEAD,17:10:00 ET,30 min,17:40:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
417,3,3263,PITTSFIELD,17:45:00 ET,30 min,18:15:00 ET,,,,,
417,4,3234,EPSOM,18:25:00 ET,10 min,18:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,46.4,2.58?,?,?,1.25,,,,,
418,1,3234,EPSOM,18:25:00 ET,10 min,18:35:00 ET,26LG,K7,303,03/15/2025 06/30/2026,
418,2,30,MANCHESTER,19:25:00 ET,1310 min,17:15:00 ET,,,,,
418,3,3234,EPSOM,17:30:00 ET,10 min,17:40:00 ET,,,,,
418,4,30,MANCHESTER,18:40:00 ET,15 min,18:55:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,35.7,0.50?,?,?,-21.92,,,,,
419,1,30,MANCHESTER,03:45:00 ET,15 min,04:00:00 ET,24VN,C14,113,12/06/2024 06/30/2026,
419,2,3281,WEARE,04:40:00 ET,6 min,04:46:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.7,1.02?,?,?,0.67,,,,,
420,1,3281,WEARE,04:47:00 ET,6 min,04:53:00 ET,24VN,C14,113,12/06/2024 06/30/2026,
420,2,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,21.6,0.97?,?,?,0.62,,,,,
421,1,30,MANCHESTER,05:30:00 ET,15 min,05:45:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
421,2,3281,WEARE,06:20:00 ET,9 min,06:29:00 ET,,,,,
421,3,3242,HENNIKER,06:45:00 ET,9 min,06:54:00 ET,,,,,
421,4,3244,HILLSBOROUGH,07:05:00 ET,9 min,07:14:00 ET,,,,,
421,5,3280,WASHINGTON,07:35:00 ET,9 min,07:44:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,50.2,2.23?,?,?,1.38,,,,,
422,1,3280,WASHINGTON,07:45:00 ET,9 min,07:54:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
422,2,30,MANCHESTER,09:00:00 ET,15 min,09:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,52.4,1.50?,?,?,1.1,,,,,
423,1,30,MANCHESTER,12:00:00 ET,15 min,12:15:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
423,2,3281,WEARE,12:56:00 ET,9 min,13:05:00 ET,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
423,3,3242,HENNIKER,13:26:00 ET,9 min,13:35:00 ET,,,,,
423,4,3244,HILLSBOROUGH,13:44:00 ET,6 min,13:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,37.7,1.83?,?,?,1.18,,,,,
424,1,3244,HILLSBOROUGH,13:51:00 ET,6 min,13:57:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
424,2,3281,WEARE,14:26:00 ET,9 min,14:35:00 ET,,,,,
424,3,30,MANCHESTER,15:10:00 ET,15 min,15:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,37.4,1.57?,?,?,1.07,,,,,
425,1,30,MANCHESTER,15:10:00 ET,15 min,15:25:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
425,2,3280,WASHINGTON,16:44:00 ET,6 min,16:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,52.8,1.67?,?,?,1.32,,,,,
426,1,3280,WASHINGTON,16:51:00 ET,9 min,17:00:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
426,2,3244,HILLSBOROUGH,17:26:00 ET,9 min,17:35:00 ET,,,,,
426,3,3242,HENNIKER,17:51:00 ET,9 min,18:00:00 ET,,,,,
426,4,3281,WEARE,18:21:00 ET,9 min,18:30:00 ET,,,,,
426,5,30,MANCHESTER,19:10:00 ET,15 min,19:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,50.3,2.57?,?,?,1.72,,,,,
431,1,30,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
431,2,3290,NOTTINGHAM,07:00:00 ET,9 min,07:09:00 ET,,,,,
431,3,3291,WEST NOTTINGHAM,07:50:00 ET,9 min,07:59:00 ET,,,,,
431,4,3037,DEERFIELD,08:20:00 ET,9 min,08:29:00 ET,,,,,
431,5,3261,NORTHWOOD,08:45:00 ET,15 min,09:00:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,51.1,3.75?,?,?,2.8,,,,,
432,1,3261,NORTHWOOD,09:00:00 ET,15 min,09:15:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
432,2,30,MANCHESTER,10:20:00 ET,15 min,10:35:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,29.9,1.58?,?,?,1.08,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
433,1,30,MANCHESTER,12:00:00 ET,15 min,12:15:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
433,2,3037,DEERFIELD,12:41:00 ET,9 min,12:50:00 ET,,,,,
433,3,3261,NORTHWOOD,13:06:00 ET,9 min,13:15:00 ET,,,,,
433,4,3291,WEST NOTTINGHAM,13:25:00 ET,9 min,13:34:00 ET,,,,,
433,5,3290,NOTTINGHAM,13:45:00 ET,9 min,13:54:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,42,1.90?,?,?,1.05,,,,,
434,1,3290,NOTTINGHAM,13:54:00 ET,6 min,14:00:00 ET,24VN,K67,251,12/06/2024 06/30/2026,
434,2,30,MANCHESTER,14:35:00 ET,15 min,14:50:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,26.2,0.93?,?,?,0.58,,,,,
435,1,30,MANCHESTER,15:30:00 ET,15 min,15:45:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
435,2,3290,NOTTINGHAM,16:39:00 ET,6 min,16:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,26.4,1.25?,?,?,0.9,,,,,
436,1,3290,NOTTINGHAM,16:46:00 ET,9 min,16:55:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
436,2,3291,WEST NOTTINGHAM,17:06:00 ET,9 min,17:15:00 ET,,,,,
436,3,3261,NORTHWOOD,17:21:00 ET,9 min,17:30:00 ET,,,,,
436,4,3037,DEERFIELD,17:46:00 ET,9 min,17:55:00 ET,,,,,
436,5,30,MANCHESTER,18:30:00 ET,15 min,18:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,41.9,1.98?,?,?,1.13,,,,,
441,1,30,MANCHESTER,02:00:00 ET,15 min,02:15:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
441,2,3458,PETERBOROUGH,03:15:00 ET,15 min,03:30:00 ET,,,,,
441,3,3452,JAFFREY,03:43:00 ET,9 min,03:52:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,45.1,1.87?,?,?,1.22,,,,,
442,1,3452,JAFFREY,03:52:00 ET,6 min,03:58:00 ET,24VN,K7,303,12/06/2024 06/30/2026,
442,2,30,MANCHESTER,05:00:00 ET,15 min,05:15:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,43.1,1.38?,?,?,1.03,,,,,
Trip ,Stop ,Nass Code,Facility,Arrive Time,Load/ ,Depart Time,Vehicle Freq,,Freq Days,Eff. Date,Exp. Date
ID,#,,,,Unload,,,,,,
443,1,30,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
443,2,3458,PETERBOROUGH,06:30:00 ET,6 min,06:36:00 ET,,,,,
443,3,3444,DUBLIN,06:53:00 ET,9 min,07:02:00 ET,,,,,
443,4,3450,HARRISVILLE,07:16:00 ET,9 min,07:25:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,48.8,2.17?,?,?,1.52,,,,,
444,1,3450,HARRISVILLE,07:26:00 ET,9 min,07:35:00 ET,24LG,K7,303,12/06/2024 06/30/2026,
444,2,30,MANCHESTER,08:55:00 ET,15 min,09:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,46.9,1.73?,?,?,1.33,,,,,
445,1,30,MANCHESTER,05:15:00 ET,15 min,05:30:00 ET,24VN,K7,303,02/15/2025 06/30/2026,
445,2,3452,JAFFREY,06:35:00 ET,9 min,06:44:00 ET,,,,,
445,3,3461,RINDGE,06:55:00 ET,20 min,07:15:00 ET,,,,,
445,4,3447,FITZWILLIAM,07:30:00 ET,15 min,07:45:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,57,2.50?,?,?,1.52,,,,,
446,1,3447,FITZWILLIAM,07:10:00 ET,95 min,08:45:00 ET,24VN,K7,303,02/15/2025 06/30/2026,
446,2,30,MANCHESTER,09:00:00 ET,10 min,09:10:00 ET,,,,,
,,Trip Miles,Trip Hrs?,?,Drive Time,,,,,,
,,52.7,2.00?,?,?,0.25,,,,,
447,1,30,MANCHESTER,05:45:00 ET,15 min,06:00:00 ET,24VN,B7,62,12/06/2024 06/30/2026,
447,2,3458,PETERBOROUGH,07:00:00 ET,15 min,07:15:00 ET,,,,,
